Rows,Cols,Resolution,FOV (deg),Coverage (%),Time (s)
2,2,64x48,30.0,7.30,0.99
2,2,64x48,45.0,1.60,0.65
2,2,64x48,60.0,0.60,0.43
2,2,128x96,30.0,20.10,3.61
2,2,128x96,45.0,14.20,2.39
2,2,128x96,60.0,5.20,1.55
3,3,64x48,30.0,14.30,1.91
3,3,64x48,45.0,6.10,1.36
3,3,64x48,60.0,1.20,0.89
3,3,128x96,30.0,27.70,7.49
3,3,128x96,45.0,21.10,5.22
3,3,128x96,60.0,14.70,3.40
4,4,64x48,30.0,17.80,3.41
4,4,64x48,45.0,13.50,2.38
4,4,64x48,60.0,6.10,1.59
4,4,128x96,30.0,28.30,13.20
4,4,128x96,45.0,25.40,9.22
4,4,128x96,60.0,22.10,6.09
